filename,size
Close Grand 5.wav,178570
snare rim hq jazz #6.wav,26108
floor tom 3 v4 rr1.wav,52990
tom 4 hq jazz #8.wav,50330
hh half hq jazz #3.wav,41758
crash hq jazz #7.wav,57852
splash hq jazz #2.wav,61992
tom 2 hq jazz #2.wav,44460
OSTR C2.wav,67766
splash hq jazz #8.wav,59694
hh half hq jazz #8.wav,46310
hh half hq jazz #2.wav,40276
hh closed hq jazz #7.wav,15172
Close Grand 4.wav,163158
Close Grand 23.wav,184678
FL Piano (10).wav,133790
Close Grand 65.wav,112820
kick 1 v9 rr1.wav,17208
FL Piano (23).wav,67040
hh half hq jazz #5.wav,30546
med tom 3 v5 rr2.wav,58666
-cr- speedway ~.wav,1803918
FL Piano (11).wav,140382
FL Piano (28).wav,90528
Close Grand 84.wav,36770
FL Piano (1).wav,133048
tom 3 hq jazz #5.wav,49312
hihat 3 v10 rr1.wav,19054
Close Grand 57.wav,156392
FL Piano (32).wav,134896
Close Grand 55.wav,147470
angel ~.wav,1223134
snare 3 v10 rr1.wav,9636
FL Piano (26).wav,143274
OSTR C3.wav,68308
Close Grand 33.wav,202306
colony ~.wav,642206
snare side hq jazz #6.wav,14724
hh pedal hq jazz #1.wav,19016
kick 2 hq jazz #8.wav,45676
lorem ipsum hawking.wav,726810
Close Grand 48.wav,191778
ride hq jazz #4.wav,60812
JC Kick (13).wav,252348
tom 4 hq jazz #7.wav,50426
snare 3 v11 rr1.wav,9616
FL Piano (24).wav,66714
snare rim hq jazz #1.wav,19686
kick 1 v11 rr2.wav,16210
OSTR F4.wav,104830
tom 1 hq jazz #1.wav,39394
Close Grand 67.wav,101520
tom 1 hq jazz #3.wav,47312
splash hq jazz #7.wav,61302
med tom 3 v3 rr2.wav,58380
Close Grand 6.wav,194438
hh pedal hq jazz #3.wav,19114
med tom 3 v5 rr1.wav,59768
snare rim hq jazz #4.wav,26392
VRZ Full Strings Vibrato (4).wav,35278
FL Piano (15).wav,86654
FL Piano (38).wav,66272
Close Grand 54.wav,152160
Close Grand 8.wav,184932
hh closed hq jazz #8.wav,16778
Close Grand 18.wav,195944
FL Piano (7).wav,83832
Close Grand 22.wav,175728
Close Grand 19.wav,208458
ride hq jazz #7.wav,59402
OSTR C1.wav,67380
snare hit hq jazz #1.wav,17428
hh pedal hq jazz #5.wav,17006
snare 3 v8 rr1.wav,9706
snare 5 v12 rr1.wav,41926
snare 5 v13 rr1.wav,48252
Close Grand 72.wav,93056
Snare - Tiny.wav,13454
FL Piano (34).wav,123414
FL Piano (5).wav,105666
Close Grand 40.wav,181388
Close Grand 34.wav,201060
Close Grand 70.wav,96822
snare hit hq jazz #4.wav,25726
ride 2 v4 rr1.wav,136200
OSTR F5.wav,101456
hh half hq jazz #6.wav,32304
VRZ Full Strings Vibrato (11).wav,77578
Close Grand 38.wav,203194
crash 2 v6 rr1.wav,69082
pedal hh 3 v4 rr1.wav,11656
jpeg ~.wav,98590
FL Piano (33).wav,121132
Close Grand 26.wav,209268
FL Piano (9).wav,65504
crash 2 v8 rr1.wav,71058
snare side hq jazz #3.wav,13592
tom 2 hq jazz #1.wav,42748
Close Grand 66.wav,98044
hh half hq jazz #4.wav,34492
tom 1 hq jazz #6.wav,46012
snare hit hq jazz #6.wav,33482
hihat 3 v5 rr1.wav,11336
tom 4 hq jazz #2.wav,49804
FL Piano (36).wav,85342
hh pedal hq jazz #8.wav,19260
Snares 808 (1).wav,24932
FL Piano (27).wav,122228
snare side hq jazz #7.wav,16008
splash hq jazz #4.wav,63092
ride 1 v9 rr1.wav,67934
VRZ Full Strings Vibrato (5).wav,35138
snare 1 rim v6 rr1.wav,7040
Close Grand 1.wav,164150
Close Grand 88.wav,35338
VRZ Full Strings Vibrato (6).wav,60984
pedal hh 3 v3 rr1.wav,11376
FL Piano (35).wav,105562
#Main Kicks (3).wav,203252
hihat 3 v6 rr1.wav,11500
Close Grand 62.wav,127894
tom 2 hq jazz #3.wav,49148
